Timestamp,EEG Signal,Frequency,Amplitude
6.66,96.0,84.0,1.9797511
6.66,96.0,85.0,1.0229481
6.66,96.0,86.0,1.1021069
6.66,96.0,87.0,12.560039
6.66,96.0,88.0,5.123594
6.66,96.0,89.0,4.1370277
6.66,96.0,90.0,1.6375285
6.66,96.0,91.0,3.580899
6.66,96.0,92.0,4.2384443
6.66,96.0,93.0,2.0553885
6.66,96.0,94.0,8.673309
6.66,96.0,95.0,2.6633105
6.66,96.0,96.0,1.2497464
6.66,96.0,97.0,2.9947445
6.66,96.0,98.0,0.7481603
6.66,96.0,99.0,1.2235858
6.66,96.0,100.0,10.545907
6.66,96.0,101.0,1.8392048
6.66,96.0,102.0,1.5841947
6.66,96.0,103.0,2.4291942
6.66,96.0,104.0,1.9940406
6.66,96.0,105.0,1.8030014
6.66,96.0,106.0,19.230894
6.66,96.0,107.0,1.7806743
6.66,96.0,108.0,1.0133008
6.66,96.0,109.0,2.004351
6.66,96.0,110.0,3.6444862
6.66,96.0,111.0,1.2052324
6.66,96.0,112.0,7.939606
6.66,96.0,113.0,6.4944286
6.66,96.0,114.0,0.904229
6.66,96.0,115.0,2.953378
6.66,96.0,116.0,1.7976303
6.66,96.0,117.0,1.6093254
6.66,96.0,118.0,4.7775903
6.66,96.0,119.0,9.697076
6.66,96.0,120.0,2.3810923
6.66,96.0,121.0,2.1588342
6.66,96.0,122.0,2.0445755
6.66,96.0,123.0,1.5591276
6.66,96.0,124.0,3.097759
6.66,96.0,125.0,13.068556
6.66,96.0,126.0,2.3103073
6.66,96.0,127.0,1.2444108
7.728,95.0,0.0,24304.0
7.728,95.0,1.0,3.5176628
7.728,95.0,2.0,5.270816
7.728,95.0,3.0,9.131048
7.728,95.0,4.0,10.657855
7.728,95.0,5.0,22.132105
7.728,95.0,6.0,118.71252
7.728,95.0,7.0,43.48682
7.728,95.0,8.0,19.211517
7.728,95.0,9.0,11.940185
7.728,95.0,10.0,8.857959
7.728,95.0,11.0,5.7215075
7.728,95.0,12.0,19.730846
7.728,95.0,13.0,25.30819
7.728,95.0,14.0,10.772554
7.728,95.0,15.0,8.055583
7.728,95.0,16.0,4.9325004
7.728,95.0,17.0,1.4137496
7.728,95.0,18.0,4.6075935
7.728,95.0,19.0,38.35217
7.728,95.0,20.0,10.932618
